,Nom_Barri,Nom_Districte,Latitud,Longitud,Nom_Local
31005,el Poblenou,Sant Martí,41.402962009,2.201405615,KINDER ESPAI INFANTIL I FAMILIAR
31697,l'Antiga Esquerra de l'Eixample,Eixample,41.391123129,2.147839218,ESCOLA BRESSOL LONDRES
31747,l'Antiga Esquerra de l'Eixample,Eixample,41.393352641,2.15152055,LLAR D'INFANTS BON SOL
31823,el Poblenou,Sant Martí,41.403832,2.204586,ESCOLA BRESSOL JUPITER
32362,el Carmel,Horta-Guinardó,41.424775995,2.157244384,ESCOLA BRESSOL TRIS TRAS
32598,el Poblenou,Sant Martí,41.400286177,2.200791389,ESCOLA BRESSOL L'ALIANÇA
33038,Sants,Sants-Montjuïc,41.381391259,2.134892195,ESCOLA DEL CARME INFANTIL I PRIMARIA CENTRE CONCERTAT
33393,Sant Andreu,Sant Andreu,41.436369455,2.187105417,ESCOLA BRESSOL EL PALOMAR
34310,Sant Antoni,Eixample,41.376387916,2.16040805,ESCOLA BRESSOL ELS TRES TOMBS
34410,Sarrià,Sarrià-Sant Gervasi,41.390385643,2.121226341,LLAR D'INFANTS OIKIA
34941,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,41.4009813,2.143050134,ESCOLA INFANTIL PEGGY
35643,la Sagrada Família,Eixample,41.408092057,2.170715779,ESCOLA BRESSOL BARRUFETS
35645,el Baix Guinardó,Horta-Guinardó,41.409263865,2.167930305,ESCOLA BRESSOL MARINA
35757,el Putxet i el Farró,Sarrià-Sant Gervasi,41.409789476,2.141837543,ESCOLA BRESSOL PUTXET
35769,la Guineueta,Nou Barris,41.438324956,2.167824358,LLAR D'INFANTS MOLINA BLAU
36114,la Font d'en Fargues,Horta-Guinardó,41.425561359,2.158796042,LLAR D'INFANTS CALIMERO
36480,les Corts,Les Corts,41.385079999,2.128045,LLAR D'INFANTS MICKEY MOUSE
36546,el Poble Sec,Sants-Montjuïc,41.373385926,2.170985341,RIALLA LLAR D'INFANTS
37165,Sants,Sants-Montjuïc,41.380936426,2.137637436,ACUARELLA LLAR D'INFANTS
37559,Sant Andreu,Sant Andreu,41.434518461,2.188548446,ESCOLA BRESSOL EL PETIT MON DELS NENS
