latitud,longitud,addresses_roadtype_id,addresses_roadtype_name,addresses_road_name,addresses_road_id
41.42098586112135,2.099587929673552,,,Ctra Església,160007
41.396311253391424,2.1072570259147585,,,C Rábida,273353
41.37932819241353,2.107739056786728,,,Av Albert Bastardas,700811
41.41524382456094,2.1086342209204902,,,Gabriel Ferrater,50304
41.37852227053537,2.108768648660978,,,C General Batet,700907
41.38456852873157,2.1094394046493576,,,Av Diagonal,144601
41.39433185278547,2.1115767347502405,,,Av Pearson,248108
41.39940218424315,2.112199777559347,,,C Montevideo,218402
41.37833952844274,2.1132864987094315,,,C Cardenal Reig,65200
41.392520033928925,2.114967409096089,,,Sor Eulàlia d'Anzizu,328003
41.40262028359711,2.115102292721839,,,C Can Caralleu,58601
41.38890928588288,2.116514709515715,,,Carrer de Jordi Girona,169023
41.40167574739713,2.117049167834166,,,C Ràfols,273852
41.37870385314168,2.117180526318858,,,C Cardenal Reig,65200
41.39034641953064,2.117810151781552,,,C Dulcet,106001
41.3833569079077,2.1181888535525486,,,C Pascual i Vila,247353
41.38654937434819,2.1184352989192647,,,Av Diagonal,144601
41.42161843553102,2.118740285636823,,,Plaça del Tibidabo,335701
41.3777061847001,2.119004804837095,,,C Pintor Tapiró,257200
41.39604135893956,2.1194602767606807,,,Enric Giménez,110202
41.42179367685009,2.1197957867323467,,,Pl Tibidabo,335701
41.397576792774,2.1199379356081067,,,C Mendel,207701
41.39390619967619,2.1211872573336934,,,Carrer d'Eduardo Conde,107300
41.39374957203114,2.121963830470535,,,Santa Amèlia,312808
41.37813205779767,2.1219936236474464,,,Trav Corts,343903
41.42288663033951,2.122452328230644,,,Camí de Can Borni,69517
41.38914624270509,2.122553349394068,,,Jiménez i Iglesias,29104
41.40140824622511,2.122626694472471,,,Via Augusta,28000
41.39929570329813,2.123531416317628,,,C Hort de la Vila,157002
41.387053996155295,2.123956896300959,,,Av Diagonal,144601
41.39479511770534,2.124117408957852,,,Fontcoberta,130709
41.390680064262654,2.124268289181158,,,C Doctor Ferran,101700
41.379060608341824,2.125966871027216,,,Emèrita Augusta,108856
41.37996721919083,2.126006645868429,,,Trav Corts,343903
41.38132376004671,2.1262516820863997,,,Trav Corts,343903
41.39059694605795,2.126885535770078,,,Ptge Rosa Leveroni,134357
41.39345626377472,2.128687898396678,,,Pg Sant Joan Bosco,305201
41.38826987549862,2.128782316455014,,,Av Diagonal,144601
41.390323977616085,2.1288904326716365,,,Flos i Calcat,128059
41.38080369474528,2.129170503906372,,,Fígols,125006
41.38271945689916,2.12966591375854,,,Gerard Piera,700721
41.41609393601731,2.130839745769486,,,Av Tibidabo,101008
41.40335416512297,2.130960359692869,,,C Ganduxer,139805
41.40366083348111,2.1314784393711608,,,Maó,189803
41.37242263913515,2.1324980431422143,,,Carrer d'Antoni de Capmany,17706
41.39329452670943,2.1333917229930712,,,Ptge Ricard Zamora,701443
41.37837907902456,2.1334122098021124,,,Joan Güell,172403
41.38491336528375,2.1335326462367803,,,C Vallespir,352904
41.39996863404373,2.1335788480441584,,,Ganduxer,139805
41.39063297052693,2.133690322091076,,,Caravel.la la Niña,63703
41.42676173206655,2.134740241562044,,,C Cànoves,60705
41.40536533899808,2.135308972460361,,,C Muntaner,223606
41.41090504207735,2.1353308120104346,,,Pg Sant Gervasi,302000
41.4157696917074,2.1353909998606846,,,C Josep Garí,170000
41.3886374373518,2.1355574312182064,,,Carrer de Constança,89605
41.39314134177889,2.135608407108716,,,Carrer del Doctor Fleming,101904
41.385038122169874,2.135813646243058,,,Marquès de Sentmenat,199909
41.40960311452634,2.136004459420973,,,Ptge Maluquer,190904
41.36492871730164,2.136318854001666,,,Pl Ildefons Cerdà,160903
41.42584651716662,2.136566647910745,,,Natzaret,226604
41.35883305531073,2.136570351595846,,,Pl Sant Cristòfol,298810
41.38684157051108,2.1366261847980823,,,Nicaragua,227800
41.36102656268192,2.1367088188150576,,,C Foneria,137300
41.39196559276461,2.1371959203557087,,,Av Sarrià,320704
41.36437449049291,2.137749555318519,,,C Mineria,212406
41.35868827870441,2.1380613376395097,,,Carrer de la Mecànica,206607
41.37888989600432,2.1383570245016768,,,Comtes de Bell-lloc,88001
41.390389369333256,2.138376389148415,,,Entença,110803
41.42495383985393,2.138719495862864,,,Carrer del Lledoner,184005
41.38204129193082,2.138755877693606,,,C Robrenyo,285104
41.38763361496539,2.1392774628599005,,,Carrer del Montnegre,219100
41.388228506917976,2.139411091038567,,,C Montnegre,219100
41.360236193911376,2.139615634878941,,,Foneria,137300
41.40161305479784,2.1397735122452017,,,Carrer de Muntaner,223606
41.37653564822331,2.139874006322372,,,Carrer de Muntadas,223504
41.39904051559378,2.140179532716965,,,Carrer de Freixa,134404
41.38307311248152,2.14064642439631,,,Robrenyo,285104
41.427728364374765,2.140746507324218,,,Arquitectura,25500
41.37274705563819,2.1407821790178123,,,Gaiarre,142504
41.41032319278719,2.1407880011566567,,,Espinoi,115206
41.43592904989888,2.1409312542675263,,,Pg Vall d'Hebron,352507
41.368634514222805,2.14105045396157,,,G.V. Corts Catalanes,169409
41.37012820294741,2.141207701348071,,,C Cuyàs,96000
41.35757415117613,2.141405753452258,,,Pg Zona Franca,369408
41.42219349572098,2.1414074544650044,,,Arenys,22400
41.385688059832844,2.141747531666055,,,Pl Caba,52503
41.41343223081007,2.141832834710263,,,C Esteve Terradas,116901
41.41693061236538,2.141848467458373,,,Av Vallcarca,158107
41.39410523623182,2.1419158924657906,,,Av Pau Casals,143507
41.35813057147215,2.1421295392287054,,,Foc,135203
